time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
62.78093108923949,0.04595824552109929,0.7960890240924074,173.99451920774425,,355.61862178478975,,0.03121979963676021,,8267.423461417478,0.09930745330478424,,142349.0405774769,0.9321877533840871,0.2647268791607061,153450.0,11110.558634003835,5.478660704987058,0.9559999999999998,2603.686457764461,174.89330352493528
63.75,0.04576965904577395,0.792450726518892,175.2944066645145,,375.0,,0.03054326190990077,,8500.0,0.10471975511965978,,143823.60056329274,0.9423553553153563,0.2667982591971436,153450.0,9637.728920627962,5.75,0.956,2596.5346899219417,176.25
63.75,0.04576965904577395,0.792450726518892,175.2944066645145,,375.0,,0.030543261909900768,,8500.0,0.10471975511965978,,143823.60056329274,0.9423553553153563,0.2667982591971436,153450.0,9637.728920627962,5.75,0.956,2596.5346899219417,176.25
65.96906891076051,0.04534111746256682,0.7841087521327851,178.2681556116263,,419.38137821521025,,0.02899405955704416,,9032.576538582522,0.11711337394251263,,147178.9212509421,0.965647968326668,0.2715425549949256,153450.0,6286.333827298978,6.371339295012944,0.956,2580.143995451217,179.35669647506472
69.03093108923949,0.03568018185388249,0.49185691553641786,182.36478766843413,,480.61862178478975,,0.026856476506774387,,9767.423461417478,0.13421403834467083,,96614.54749677722,0.6351940749224442,0.278091109138912,153450.0,56856.040404874264,7.228660704987057,0.956,2557.4964526738054,183.64330352493528
70.0,0.027777631650486884,0.24949096040961594,183.65977996639933,,500.0,,0.026179938779914945,,10000.0,0.13962634015954636,,49705.52962995369,0.32695692501646856,0.28016428291767087,153450.0,103766.72583603168,7.5,0.956,2550.3209136684914,185.0
70.0,0.05077107097045007,0.7702239199516449,183.65977996639933,,,,0.12164200005417769,,10000.0,,,,,0.28016428291767087,153450.0,,,0.956,2550.3209136684914,185.0
74.61566333438186,0.03851630599993815,0.6088450886195593,206.57090732833316,,,,0.09158031616027304,,13550.510257216823,,,,,0.3151141209789272,153450.0,,,0.956,2409.102695565971,208.07831667190936
80.98433666561813,0.029549388225137144,0.4579535806187727,238.18358686056902,,,,0.06345685048750045,,18449.48974278318,,,,,0.3633377641406218,153450.0,,,0.9559999999999998,2220.2138043415275,239.92168332809064
83.0,0.027751490595100344,0.42177461856552073,248.18889184648555,,,,0.05670957052436037,,20000.0,,,,,0.3786003823211769,153450.0,,,0.956,2161.8643022132946,250.0
83.0,0.02743707580088035,0.41512365967192805,250.0,-114.98818319670634,500.0,,0.055475026996645076,,20000.0,-0.05200825252742505,-2.649214596855101,,,0.381363141904187,153450.0,,-1.8013684543899862,0.956,2151.302179498725,251.82432434832197
125.60612308660185,0.02747412784520766,0.41513958648687366,250.0,-120.8413234790694,3872.9847443559806,,0.054880642301381004,,48404.08205773458,-0.05126592578857998,-2.783974635063157,,,0.4057009496393522,153450.0,,-1.7928919996802553,0.956,2278.7381124964863,264.7603082964548
184.39387691339815,0.027524131445365658,0.4152170296472026,250.0,-129.64572480038603,8527.015255644019,,0.053894856250574164,,87595.91794226544,-0.04749146325537258,-3.183214152084466,,,0.44292780768732215,153450.0,,-1.6331126068113149,0.9559999999999998,2875.681863066954,284.2666585786975
203.0,0.02753904483899424,0.4152454014355066,250.0,-132.62397435294523,10000.0,,0.053532476141872794,,100000.0,-0.046031330122352825,-3.3293255862979803,,,0.45568801437450535,153450.0,,-1.5702159915701488,0.956,3104.999617450524,290.87981732908725
203.0,0.07364036042028245,1.0035296377015,160.0,-29.072375747952155,10000.0,-913.2379248562848,0.16329927063806435,,100000.0,-0.0484602446439826,-3.5056829168967405,,,0.29164032919968347,151915.5,,4.579791512854038,0.956,3775.696279198677,186.16308309061586
356.8554444793956,0.07366816178803802,1.0035545834589383,160.0,-29.608423384190097,11183.503419072273,-920.5487247406196,0.16301228807568877,,111835.03419072276,-0.04794495182062254,-3.5744266413215278,,,0.2984373904221175,151915.5,,4.592872727227978,0.956,3858.089983378299,189.66863748941665
569.1445555206044,0.07370632710398403,1.0035883964190726,160.0,-30.371252976074494,12816.496580927727,-930.875205008475,0.16258780401225778,,128164.96580927726,-0.04723752782768151,-3.6677575557936763,,,0.3081788419343322,151915.5,,4.609083991044633,0.9559999999999998,3971.2076973347225,194.66642686841058
636.3333333333333,0.07371834788538015,1.003598850832119,160.0,-30.618457625378596,13333.333333333332,-934.245767374715,0.16244609871028037,,133333.33333333334,-0.04701665135627765,-3.6970572703152462,,,0.311353081917202,151915.5,,4.613620164911883,0.956,4006.542585814254,196.28842629467974
636.3333333333333,0.07371834788538015,1.003598850832119,160.0,-30.618457625378596,13333.333333333332,-934.245767374715,0.16244609871028037,,133333.33333333334,-0.04701665135627765,-3.6970572703152462,,,0.311353081917202,151915.5,,4.613620164911883,0.9560000000000001,4006.542585814254,196.28842629467974
790.1887778127289,0.07374574854900189,1.0036222753222714,160.0,-31.195312134955035,14516.836752405605,-942.1895430005048,0.16210737824548846,,145168.36752405606,-0.04651794391296897,-3.7637928646141017,,,0.31879343805766003,151915.5,,4.622786743557945,0.956,4086.3642140480983,200.0781397478354
1002.4778888539377,0.07378300686732374,1.0036514756199308,160.0,-32.01653210917617,16149.82991426106,-954.5718210612629,0.1616049698467372,,161498.29914261057,-0.04588868652128082,-3.8499319524654085,,,0.32946700701554493,151915.5,,4.6300546554887125,0.9559999999999998,4187.489734233517,205.48524620877913
1069.6666666666665,0.07379472984195225,1.0036606096253058,160.0,-32.282758019838205,16666.666666666664,-958.5655350674673,0.16143703695353606,,166666.66666666666,-0.0456900734063357,-3.8769521390002244,,,0.3329475804786726,151915.5,,4.631812502709169,0.956,4219.403073976238,207.2412960931572
1069.6666666666665,0.07379472984195225,1.0036606096253058,160.0,-32.282758019838205,16666.666666666664,-958.5655350674673,0.16143703695353606,,166666.66666666666,-0.0456900734063357,-3.8769521390002244,,,0.3329475804786726,151915.5,,4.631812502709169,0.956,4219.403073976238,207.2412960931572
1223.5221111460623,0.07382149693244817,1.0036820405098914,160.0,-32.90403503743174,17850.17008573894,-967.5128110022724,0.16103539167469494,,178501.70085738943,-0.0452206505882794,-3.93999846102415,,,0.34110965929381964,151915.5,,4.635695869651982,0.956,4294.689292200291,211.345582230787
1435.8112221872711,0.07385821730050982,1.0037124804868378,160.0,-33.78893207361582,19483.163247594395,-979.5088770253224,0.1604391468422912,,194831.63247594397,-0.044545395760069016,-4.028604048044887,,,0.3528311181765168,151915.5,,4.640222808951049,0.9559999999999998,4402.719904590899,217.20730272332642
1503.0,0.07386973203497037,1.0037219436216807,160.0,-34.075843007716955,20000.0,-983.3986577052069,0.16023950256551514,,200000.0,-0.04433337930515685,-4.0559059564858675,,,0.35665614502122056,151915.5,,4.640931682541631,0.956,4436.637759531924,219.11205827168806
1503.0,,,,,,,,1503.0,200000.0,,,,,,150000.0,,,,,
2146.961141918073,,,,,,,,2146.961141918073,515906.9179707502,,,,,,143956.4392373896,,,,,
3441.1894659376303,,,,,,,,3441.1894659376303,1150814.29727887,,,,,,132500.0,,,,,
4838.087503571025,,,,,,,,4838.087503571025,1836088.182708897,,,,,,121043.5607626104,,,,,
5618.979944879657,,,,,,,,5618.979944879657,2219169.254442026,,,,,,115000.0,,,,,
5618.979944879657,0.06283310910292136,0.8962425863398735,159.99999999999997,,20000.0,,0.1412120143943575,,2219169.254442026,-0.05543091240003252,,,,0.3566561450212205,136000.0,,2.9148951062560693,0.0,1961.9795783736222,219.11205827168803
5678.15511583327,0.06281077611731452,0.8962455761386606,160.0,,18816.496580927724,,0.14161713216610722,,11349957.134263597,-0.05549631380290612,,,,0.34798014053439824,136000.0,,2.9343594204241814,0.0,1949.7081628279698,214.785994167828
5759.804773926043,0.06277937547122307,0.8962471960871196,160.0,,17183.503419072276,,0.14213647847619598,,11430128.954975247,-0.05554536100515577,,,,0.33647843150039897,136000.0,,2.96130557441213,0.0,1938.2898569038714,209.01908721308445
5785.646611546324,0.062769130651542,0.896245252392568,160.0,,16666.666666666668,,0.14229155245250574,,11455503.062117236,-0.05552695625970022,,,,0.3329475804786727,136000.0,,2.971245173004607,0.0,1939.2438500759315,207.24129609315722
5785.646611546324,0.062769130651542,0.896245252392568,160.0,,16666.666666666668,,0.14229155245250574,,11455503.062117236,-0.05552695625970022,,,,0.3329475804786727,136000.0,,2.971245173004607,0.0,1939.2438500759315,207.24129609315722
5844.821782499937,0.0627451255516867,0.8962364937736499,160.0,,15483.163247594392,,0.14263097580982878,,11513607.178008128,-0.055426141434452875,,,,0.3250506922695879,136000.0,,2.9964689628464,0.0,1949.3250120904347,203.25208705130316
5926.47144059271,0.06271346590588368,0.8962417354137847,160.0,,13850.17008573894,,0.14307033196718885,,11593778.998719778,-0.05550695097329434,,,,0.31457296414006386,136000.0,,3.017012170846203,0.0,1933.547866736631,197.93059591528666
5952.31327821299,0.06270372650707566,0.8962468462970316,160.00000000000003,,13333.333333333332,,0.14320279223658952,,11619153.105861766,-0.05557576739763923,,,,0.31135308191720207,136000.0,,3.020658694559884,0.0,1922.7162022019315,196.28842629467977
5952.31327821299,0.06270372650707566,0.8962468462970316,160.00000000000003,,13333.333333333332,,0.14320279223658952,,11619153.105861766,-0.05557576739763923,,,,0.31135308191720207,136000.0,,3.020658694559884,0.0,1922.7162022019315,196.28842629467977
6011.4884491666035,0.0626814596467852,0.8962594314031211,160.0,,12149.82991426106,,0.14349393890817616,,11677257.22175266,-0.05574201924007173,,,,0.304150051330236,136000.0,,3.027814641153423,0.0,1896.7391252530745,192.60320772635546
6093.138107259376,0.06265073421678075,0.8962782642162731,160.0,,10516.836752405608,,0.14386963064782185,,11757429.04246431,-0.05598449329919133,,,,0.29458211071191637,136000.0,,3.0354474520040906,0.0,1859.1168618050422,187.68217781477725
6118.979944879657,0.06264101653631032,0.8962845652059669,160.0,,10000.0,,0.1439826296427538,,11782803.149606299,-0.0560643176665354,,,,0.29164032919968347,136000.0,,3.0373482181517937,0.0,1846.7914009102992,186.16308309061586
6118.979944879657,0.025538328206485588,0.3675896437716591,250.0,,10000.0,,0.04538577402973667,,11782803.149606299,-0.061158584633597,,,,0.45568801437450535,136000.0,,-2.9037154786603887,0.0,1109.8828190520974,290.87981732908725
6155.507109219786,0.025532361995652064,0.36758814581377847,250.0,,9342.51104187767,,0.0455336182400626,,11818669.181859054,-0.06138749779970599,,,,0.44993066547683636,136000.0,,-2.9083603876762893,0.0,1076.5482072286927,287.9004984603068
6234.3630138646295,0.025519082039234912,0.3675849635044253,250.0,,7923.1047582704905,,0.045836573902746196,,11896097.815326914,-0.061887802903909626,,,,0.4378385833372612,136000.0,,-2.9196676777646524,0.0,1003.6044293802942,281.6189555199581
6339.644185493881,0.02550058677497923,0.3675806278909772,250.0,,6028.043668943951,,0.04620912848645641,,11999473.425382528,-0.06259620678371024,,,,0.42238201830965827,136000.0,,-2.938910424983072,0.0,900.4339919669263,273.54138264149566
6450.487599739079,0.025480367676788154,0.36757857825624946,250.0,,4032.8622125303887,,0.04656640924716041,,12108310.60292265,-0.06295183061730926,,,,0.40690683289114893,136000.0,,-2.938815490052996,0.0,844.6052891278702,265.39733296592385
6544.940645045414,0.025462640935697205,0.3675791703486501,250.0,,2332.707397016359,,0.046845542818192226,,12201054.072899766,-0.06288418710593906,,,,0.39432949726270733,136000.0,,-2.9189466267995003,0.0,847.2609965319627,258.7352043665303
6604.321731299764,0.025451244078672868,0.3675795235236192,250.0,,1263.847844438064,,0.04700997935123253,,12259360.3770785,-0.06285082657837018,,,,0.38669455912109535,136000.0,,-2.9076136900265,0.0,847.5908890106037,254.67116506822694
6618.979944879657,0.025448405632836662,0.36757960623132097,250.0,,1000.0,,0.04704932391137026,,12273753.280839896,-0.06284403858081919,,,,0.3848414959506301,136000.0,,-2.9049704891727925,0.0,847.466247012135,253.68253284663746
